2023-06-01 10:43:15 [main] INFO  c.m.d.t.t.k.s.TwitterToKafkaServiceApplication - Starting TwitterToKafkaServiceApplication using Java 17.0.3.1 with PID 75542 (/media/pablo-jdk/Diisco Datos/DOCUMENTOS/java/spring microservice/microservices-demo/twitter-to-kafka-service/target/classes started by pablo-jdk in /media/pablo-jdk/Diisco Datos/DOCUMENTOS/java/spring microservice/microservices-demo)
2023-06-01 10:43:15 [main] INFO  c.m.d.t.t.k.s.TwitterToKafkaServiceApplication - No active profile set, falling back to 1 default profile: "default"
2023-06-01 10:43:16 [main] INFO  c.m.d.t.t.k.s.TwitterToKafkaServiceApplication - Started TwitterToKafkaServiceApplication in 2.709 seconds (process running for 4.086)
2023-06-01 10:43:16 [main] INFO  c.m.d.t.t.k.s.TwitterToKafkaServiceApplication - Apps Starts....
2023-06-01 10:43:16 [main] INFO  c.m.d.t.t.k.s.TwitterToKafkaServiceApplication - [-Java -Microservices -Spring -Kafka -Elasticsearch]
2023-06-01 10:59:04 [main] INFO  c.m.d.t.t.k.s.TwitterToKafkaServiceApplication - Starting TwitterToKafkaServiceApplication using Java 17.0.3.1 with PID 76989 (/media/pablo-jdk/Diisco Datos/DOCUMENTOS/java/spring microservice/microservices-demo/twitter-to-kafka-service/target/classes started by pablo-jdk in /media/pablo-jdk/Diisco Datos/DOCUMENTOS/java/spring microservice/microservices-demo)
2023-06-01 10:59:04 [main] INFO  c.m.d.t.t.k.s.TwitterToKafkaServiceApplication - No active profile set, falling back to 1 default profile: "default"
2023-06-01 10:59:05 [main] INFO  c.m.d.t.t.k.s.TwitterToKafkaServiceApplication - Started TwitterToKafkaServiceApplication in 2.495 seconds (process running for 5.097)
2023-06-01 10:59:05 [main] INFO  c.m.d.t.t.k.s.TwitterToKafkaServiceApplication - Apps Starts....
2023-06-01 10:59:05 [main] INFO  c.m.d.t.t.k.s.TwitterToKafkaServiceApplication - [-Java -Microservices -Spring -Kafka -Elasticsearch]
2023-06-01 21:23:20 [main] INFO  c.m.d.t.t.k.s.TwitterToKafkaServiceApplication - Starting TwitterToKafkaServiceApplication using Java 17.0.3.1 with PID 14257 (/media/pablo-jdk/Diisco Datos/DOCUMENTOS/java/spring microservice/microservices-demo/twitter-to-kafka-service/target/classes started by pablo-jdk in /media/pablo-jdk/Diisco Datos/DOCUMENTOS/java/spring microservice/microservices-demo)
2023-06-01 21:23:20 [main] INFO  c.m.d.t.t.k.s.TwitterToKafkaServiceApplication - No active profile set, falling back to 1 default profile: "default"
2023-06-01 21:23:21 [main] INFO  c.m.d.t.t.k.s.TwitterToKafkaServiceApplication - Started TwitterToKafkaServiceApplication in 2.592 seconds (process running for 4.64)
2023-06-01 21:23:21 [main] INFO  c.m.d.t.t.k.s.TwitterToKafkaServiceApplication - Apps Starts....
2023-06-01 21:23:21 [main] INFO  c.m.d.t.t.k.s.TwitterToKafkaServiceApplication - [-Java -Microservices -Spring -Kafka -Elasticsearch]
2023-06-01 21:23:21 [main] INFO  c.m.d.t.t.k.s.TwitterToKafkaServiceApplication - null
2023-06-01 21:24:26 [main] INFO  c.m.d.t.t.k.s.TwitterToKafkaServiceApplication - Starting TwitterToKafkaServiceApplication using Java 17.0.3.1 with PID 14363 (/media/pablo-jdk/Diisco Datos/DOCUMENTOS/java/spring microservice/microservices-demo/twitter-to-kafka-service/target/classes started by pablo-jdk in /media/pablo-jdk/Diisco Datos/DOCUMENTOS/java/spring microservice/microservices-demo)
2023-06-01 21:24:26 [main] INFO  c.m.d.t.t.k.s.TwitterToKafkaServiceApplication - No active profile set, falling back to 1 default profile: "default"
2023-06-01 21:24:27 [main] INFO  c.m.d.t.t.k.s.TwitterToKafkaServiceApplication - Started TwitterToKafkaServiceApplication in 1.5 seconds (process running for 2.725)
2023-06-01 21:24:27 [main] INFO  c.m.d.t.t.k.s.TwitterToKafkaServiceApplication - Apps Starts....
2023-06-01 21:24:27 [main] INFO  c.m.d.t.t.k.s.TwitterToKafkaServiceApplication - [-Java -Microservices -Spring -Kafka -Elasticsearch]
2023-06-01 21:24:27 [main] INFO  c.m.d.t.t.k.s.TwitterToKafkaServiceApplication - null
2023-06-01 21:26:57 [main] INFO  c.m.d.t.t.k.s.TwitterToKafkaServiceApplication - Starting TwitterToKafkaServiceApplication using Java 17.0.3.1 with PID 14559 (/media/pablo-jdk/Diisco Datos/DOCUMENTOS/java/spring microservice/microservices-demo/twitter-to-kafka-service/target/classes started by pablo-jdk in /media/pablo-jdk/Diisco Datos/DOCUMENTOS/java/spring microservice/microservices-demo)
2023-06-01 21:26:57 [main] INFO  c.m.d.t.t.k.s.TwitterToKafkaServiceApplication - No active profile set, falling back to 1 default profile: "default"
2023-06-01 21:26:58 [main] INFO  c.m.d.t.t.k.s.TwitterToKafkaServiceApplication - Started TwitterToKafkaServiceApplication in 1.367 seconds (process running for 2.601)
2023-06-01 21:26:58 [main] INFO  c.m.d.t.t.k.s.TwitterToKafkaServiceApplication - Apps Starts....
2023-06-01 21:26:58 [main] INFO  c.m.d.t.t.k.s.TwitterToKafkaServiceApplication - [-Java -Microservices -Spring -Kafka -Elasticsearch]
2023-06-01 21:26:58 [main] INFO  c.m.d.t.t.k.s.TwitterToKafkaServiceApplication - Mensaje de Bienvenida
2023-06-01 23:55:55 [main] INFO  c.m.d.t.t.k.s.TwitterToKafkaServiceApplication - Starting TwitterToKafkaServiceApplication using Java 17.0.3.1 with PID 32720 (/media/pablo-jdk/Diisco Datos/DOCUMENTOS/java/spring microservice/microservices-demo/twitter-to-kafka-service/target/classes started by pablo-jdk in /media/pablo-jdk/Diisco Datos/DOCUMENTOS/java/spring microservice/microservices-demo)
2023-06-01 23:55:55 [main] INFO  c.m.d.t.t.k.s.TwitterToKafkaServiceApplication - No active profile set, falling back to 1 default profile: "default"
2023-06-01 23:55:56 [main] INFO  c.m.d.t.t.k.s.TwitterToKafkaServiceApplication - Started TwitterToKafkaServiceApplication in 1.487 seconds (process running for 2.854)
2023-06-01 23:55:56 [main] INFO  c.m.d.t.t.k.s.TwitterToKafkaServiceApplication - Apps Starts....
2023-06-01 23:55:56 [main] INFO  c.m.d.t.t.k.s.TwitterToKafkaServiceApplication - [-Java -Microservices -Spring -Kafka -Elasticsearch]
2023-06-01 23:55:56 [main] INFO  c.m.d.t.t.k.s.TwitterToKafkaServiceApplication - Mensaje de Bienvenida
2023-06-01 23:55:56 [Twitter Stream consumer /  [1][initializing]] INFO  twitter4j.TwitterStreamImpl - Establishing connection.
2023-06-01 23:55:56 [main] INFO  c.m.d.t.t.k.s.r.i.TwitterKafkaStreamRunner - Started filtering twitter stream for keyword [-Java -Microservices -Spring -Kafka -Elasticsearch]
2023-06-01 23:55:57 [Twitter Stream consumer /  [1][Establishing connection]] INFO  twitter4j.TwitterStreamImpl - https://stream.twitter.com/1.1/statuses/filter.json
2023-06-01 23:55:57 [Twitter Stream consumer /  [1][Establishing connection]] INFO  twitter4j.TwitterStreamImpl - Waiting for 250 milliseconds
2023-06-01 23:55:57 [Twitter Stream consumer /  [1][Waiting for 250 milliseconds]] INFO  twitter4j.TwitterStreamImpl - Establishing connection.
2023-06-01 23:55:57 [Twitter Stream consumer /  [1][Establishing connection]] INFO  twitter4j.TwitterStreamImpl - https://stream.twitter.com/1.1/statuses/filter.json
2023-06-01 23:55:57 [Twitter Stream consumer /  [1][Establishing connection]] INFO  twitter4j.TwitterStreamImpl - Waiting for 500 milliseconds
2023-06-01 23:55:58 [Twitter Stream consumer /  [1][Waiting for 500 milliseconds]] INFO  twitter4j.TwitterStreamImpl - Establishing connection.
2023-06-01 23:55:58 [Twitter Stream consumer /  [1][Establishing connection]] INFO  twitter4j.TwitterStreamImpl - https://stream.twitter.com/1.1/statuses/filter.json
2023-06-01 23:55:58 [Twitter Stream consumer /  [1][Establishing connection]] INFO  twitter4j.TwitterStreamImpl - Waiting for 1000 milliseconds
2023-06-01 23:55:59 [Twitter Stream consumer /  [1][Waiting for 1000 milliseconds]] INFO  twitter4j.TwitterStreamImpl - Establishing connection.
2023-06-01 23:56:00 [Twitter Stream consumer /  [1][Establishing connection]] INFO  twitter4j.TwitterStreamImpl - https://stream.twitter.com/1.1/statuses/filter.json
2023-06-01 23:56:00 [Twitter Stream consumer /  [1][Establishing connection]] INFO  twitter4j.TwitterStreamImpl - Waiting for 2000 milliseconds
2023-06-01 23:56:02 [Twitter Stream consumer /  [1][Waiting for 2000 milliseconds]] INFO  twitter4j.TwitterStreamImpl - Establishing connection.
2023-06-01 23:56:02 [Twitter Stream consumer /  [1][Establishing connection]] INFO  twitter4j.TwitterStreamImpl - https://stream.twitter.com/1.1/statuses/filter.json
2023-06-01 23:56:02 [Twitter Stream consumer /  [1][Establishing connection]] INFO  twitter4j.TwitterStreamImpl - Waiting for 4000 milliseconds
2023-06-01 23:56:06 [Twitter Stream consumer /  [1][Waiting for 4000 milliseconds]] INFO  twitter4j.TwitterStreamImpl - Establishing connection.
2023-06-01 23:56:07 [Twitter Stream consumer /  [1][Establishing connection]] INFO  twitter4j.TwitterStreamImpl - https://stream.twitter.com/1.1/statuses/filter.json
2023-06-01 23:56:07 [Twitter Stream consumer /  [1][Establishing connection]] INFO  twitter4j.TwitterStreamImpl - Waiting for 8000 milliseconds
2023-06-01 23:56:15 [Twitter Stream consumer /  [1][Waiting for 8000 milliseconds]] INFO  twitter4j.TwitterStreamImpl - Establishing connection.
2023-06-01 23:56:15 [Twitter Stream consumer /  [1][Establishing connection]] INFO  twitter4j.TwitterStreamImpl - https://stream.twitter.com/1.1/statuses/filter.json
2023-06-01 23:56:15 [Twitter Stream consumer /  [1][Establishing connection]] INFO  twitter4j.TwitterStreamImpl - Waiting for 16000 milliseconds
2023-06-01 23:56:31 [Twitter Stream consumer /  [1][Waiting for 16000 milliseconds]] INFO  twitter4j.TwitterStreamImpl - Establishing connection.
2023-06-01 23:56:31 [Twitter Stream consumer /  [1][Establishing connection]] INFO  twitter4j.TwitterStreamImpl - https://stream.twitter.com/1.1/statuses/filter.json
2023-06-01 23:56:31 [Twitter Stream consumer /  [1][Establishing connection]] INFO  twitter4j.TwitterStreamImpl - Waiting for 16000 milliseconds
2023-06-01 23:56:47 [Twitter Stream consumer /  [1][Waiting for 16000 milliseconds]] INFO  twitter4j.TwitterStreamImpl - Establishing connection.
2023-06-01 23:56:48 [Twitter Stream consumer /  [1][Establishing connection]] INFO  twitter4j.TwitterStreamImpl - https://stream.twitter.com/1.1/statuses/filter.json
2023-06-01 23:56:48 [Twitter Stream consumer /  [1][Establishing connection]] INFO  twitter4j.TwitterStreamImpl - Waiting for 16000 milliseconds
2023-06-01 23:57:04 [Twitter Stream consumer /  [1][Waiting for 16000 milliseconds]] INFO  twitter4j.TwitterStreamImpl - Establishing connection.
2023-06-01 23:57:04 [Twitter Stream consumer /  [1][Establishing connection]] INFO  twitter4j.TwitterStreamImpl - https://stream.twitter.com/1.1/statuses/filter.json
2023-06-01 23:57:04 [Twitter Stream consumer /  [1][Establishing connection]] INFO  twitter4j.TwitterStreamImpl - Waiting for 16000 milliseconds
2023-06-01 23:57:20 [Twitter Stream consumer /  [1][Waiting for 16000 milliseconds]] INFO  twitter4j.TwitterStreamImpl - Establishing connection.
2023-06-01 23:57:21 [Twitter Stream consumer /  [1][Establishing connection]] INFO  twitter4j.TwitterStreamImpl - https://stream.twitter.com/1.1/statuses/filter.json
2023-06-01 23:57:21 [Twitter Stream consumer /  [1][Establishing connection]] INFO  twitter4j.TwitterStreamImpl - Waiting for 16000 milliseconds
2023-06-01 23:57:37 [Twitter Stream consumer /  [1][Waiting for 16000 milliseconds]] INFO  twitter4j.TwitterStreamImpl - Establishing connection.
2023-06-01 23:57:37 [Twitter Stream consumer /  [1][Establishing connection]] INFO  twitter4j.TwitterStreamImpl - https://stream.twitter.com/1.1/statuses/filter.json
2023-06-01 23:57:37 [Twitter Stream consumer /  [1][Establishing connection]] INFO  twitter4j.TwitterStreamImpl - Waiting for 16000 milliseconds
2023-06-01 23:57:53 [Twitter Stream consumer /  [1][Waiting for 16000 milliseconds]] INFO  twitter4j.TwitterStreamImpl - Establishing connection.
2023-06-01 23:57:54 [Twitter Stream consumer /  [1][Establishing connection]] INFO  twitter4j.TwitterStreamImpl - https://stream.twitter.com/1.1/statuses/filter.json
2023-06-01 23:57:54 [Twitter Stream consumer /  [1][Establishing connection]] INFO  twitter4j.TwitterStreamImpl - Waiting for 16000 milliseconds
2023-06-01 23:58:10 [Twitter Stream consumer /  [1][Waiting for 16000 milliseconds]] INFO  twitter4j.TwitterStreamImpl - Establishing connection.
